loco_number,current_operator,vehicle_description,train_id,route,date_time_added,last_seen,lat,lon,source
8215,,PN Grain,9325,9325 Inner Harbour Southern NSW,2026-04-29T17:19:50.671764Z,2026-04-29T17:19:50.671764Z,-34.784377,149.085387,trains.json
8217,,PN Grain,9327,9327 Inner Harbour Southern NSW,2026-04-29T17:19:50.671764Z,2026-04-30T00:02:48.407086Z,-34.4412,150.882027,trains.json
8223,,PN Containerised Cotton,8124,8124 Warren South / Trangie Enfield Yard,2026-04-29T17:19:50.671764Z,2026-04-29T17:19:50.671764Z,-33.727287,150.39084,trains.json
8225,,PN Garbage Train,1221,1221 Clyde Crisps Creek,2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-34.79499,149.674773,trains.json
8226,,PN Light Engine,D212,D212,2026-04-30T00:02:48.407086Z,2026-04-30T00:32:55.361185Z,-34.543333,150.374053,trains.json
8235,,8235,8235,8235,2026-04-30T00:02:48.407086Z,2026-04-30T00:32:55.361185Z,-31.359683,150.645147,trains.json
8239,,PN grain,5531,5531 Crystal Brook Broken Hill,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-30.346723,149.76468,trains.json
8240,,PN Grain,5430,5430 North West NSW Carrington / Cargill Kooragang,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-32.661627,151.316547,trains.json
8249,,PN Grain Shuttle,5525,5525 North West NSW North West NSW,2026-04-29T17:31:31.316802Z,2026-04-30T00:32:55.361185Z,-30.96956,150.23664,trains.json
9025,,PN Light Engine,D907,D907,2026-04-29T17:19:50.671764Z,2026-04-29T17:19:50.671764Z,-32.390937,150.132107,trains.json
9029,,PN Coal,MT203,MT203 PWCS Kooragang Mt Thorley,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-32.634823,151.102,trains.json
9203,,PN Coal,MR218,MR218 Moolarben PWCS Kooragang,2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-32.867157,151.753933,trains.json
9301,,PN Coal,MB513,MB513 PWCS Kooragang Maules Creek,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-31.901507,150.880947,trains.json
9302,,PN Coal,MB932,MB932 Maules Creek NCIG Kooragang,2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-32.29781,150.980093,trains.json
9305,,PN Coal,GR425,GR425,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-32.86029,151.69752,trains.json
9307,,PN Coal,BE534,BE534 Boggabri East PWCS Kooragang,2026-04-29T17:31:31.316802Z,2026-04-30T00:32:55.361185Z,-31.192273,150.354773,trains.json
9311,,PN Coal,MB928,MB928 Maules Creek NCIG Kooragang,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-32.297803,150.980093,trains.json
9312,,PN Coal,MB934,MB934 Maules Creek NCIG Kooragang,2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-31.737983,150.784667,trains.json
9313,,PN Coal,BE514,BE514 Boggabri East PWCS Kooragang,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-32.650813,151.231787,trains.json
9406,,PN Intermodal,4MA5,4MA5 MFT (South Dynon) AFT (Islington),2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-34.993247,138.786507,trains.json
9408,,PN Intermodal,4AM5,4AM5 AFT (Islington) MFT (South Dynon),2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-37.512817,142.941587,trains.json
9410,,PN Intermodal,2PM5,2PM5 Kewdale MFT (South Dynon),2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-36.208073,140.588773,trains.json
42103,,,2M40,2M40,2026-04-30T00:32:55.361185Z,2026-04-30T00:32:55.361185Z,-34.70963,149.963733,trains.json
44202,,Qube Trip Train,T960,T960,2026-04-29T17:31:31.316802Z,2026-04-29T23:45:49.028656Z,-34.46445,150.87804,trains.json
44204,,SSR Cement Clinker,2243,2243 Maldon Cement Works Berrima Cement Works,2026-04-29T17:31:31.316802Z,2026-04-29T17:31:31.316802Z,-34.192117,150.635053,trains.json
