Loco ID,Train Number,Last Seen,Last Date,Last Time,Latitude,Longitude,Speed,Origin,Destination,Description,Total Sightings,cId,servId,trKey
T386,T161,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.845053,151.028587,6,,,,2,,,
8208,1221,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.84238,151.02596,12,Clyde,Crisps Creek,PN Garbage Train,2,,,
TNSW-4443-4350,68-M,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.839082,151.021636,0,City Circle,Parramatta,T2 Leppington & Inner West Line,2,,,
TNSW-9265-8512,C193,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.116249,150.993469,0,Bondi Junction and Central,Bomaderry ,South Coast Line,2,,,
TNSW-2371-7632,C188,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.21844,150.993641,0,Kiama,Central and Bondi Junction,South Coast Line,2,,,
TNSW-3358-4137,L1EV,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.864242,151.051408,0,Olympic Park,Blacktown,T7 Olympic Park Line,2,,,
TNSW-6876-4519,L2EM,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.8643,151.051764,0,Olympic Park,Blacktown,T7 Olympic Park Line,2,,,
8164,9122,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.863677,151.05612,10,Port Kembla,Clyde,PN Cement - RailTrain Crewed,2,,,
TNSW-4415-1234,48BX,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.863633,151.063242,0,,,Out Of Service trips,2,,,
TNSW-8125-8274,L2EL,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.847072,151.068053,0,Blacktown,Olympic Park,T7 Olympic Park Line,2,,,
TNSW-7098-6068,L1EW,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.847314,151.068166,0,Blacktown,Olympic Park,T7 Olympic Park Line,2,,,
DS004,M676,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.71894,150.839987,45,,,,2,,,
TE2807,CN90,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.493203,150.791533,26,Wollongong / Kiama,Eveleigh,Sydney Trains Empty Car Transfer,2,,,
QL011,2MW7,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.32445,150.915827,42,North Dynon,Port Kembla,QUBE BlueScope Steel,2,,,
CF4411,2WM7,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.32251,150.915613,40,Port Kembla,North Dynon,QUBE BlueScope Steel,2,,,
LRV19,R1,2026-02-16 12:14:46,2026-02-16,12:14:46,-35.200649,149.149216,55,,,Gungahlin Place - Alinga Street,2,,,
XP2017,ST21,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.706337,150.10252,105,Central,Southern Cross Station,NSW Trainlink XPT,2,,,
8218,9325,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.61077,150.3218,62,Inner Harbour,Southern NSW,PN Grain,2,,,
8175,9323,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.604233,148.558573,79,Inner Harbour,Southern NSW,PN Grain,2,,,
LRV18,R1,2026-02-16 12:14:46,2026-02-16,12:14:46,-35.25819,149.132507,45,,,Gungahlin Place - Alinga Street,2,,,
LRV14,R1,2026-02-16 12:14:46,2026-02-16,12:14:46,-35.193272,149.151047,46,,,Gungahlin Place - Alinga Street,2,,,
LRV5,R1,2026-02-16 12:14:46,2026-02-16,12:14:46,-35.265709,149.131256,16,,,Gungahlin Place - Alinga Street,2,,,
TNSW-2299-3899,623U,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.886299,151.206088,0,Waterfall,Bondi Junction via City,T4 Eastern Suburbs & Illawarra Line,2,,,
TNSW-3613-3317,14-M,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.885515,151.205933,0,Macarthur,City Circle via Airport,T8 Airport & South Line,2,,,
TNSW-1611-2368,86-J,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.885484,151.205896,0,Leppington,City Circle via Sydenham,T8 Airport & South Line,2,,,
TNSW-7177-9821,12-R,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.885307,151.206149,0,Leppington,City Circle via Sydenham,T8 Airport & South Line,2,,,
TNSW-7803-7130,162N,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.885262,151.205109,0,Emu Plains,Berowra via City ,T1 Western Line,2,,,
TNSW-8174-9492,623T,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.88448,151.20756,0,Bondi Junction,Waterfall via City,T4 Eastern Suburbs & Illawarra Line,2,,,
TNSW-9887-3381,601M,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.89108,151.2483,0,Bondi Junction,Waterfall via City,T4 Eastern Suburbs & Illawarra Line,2,,,
TNSW-7382-1960,607J,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.891076,151.247359,0,Cronulla,Bondi Junction via City,T4 Eastern Suburbs & Illawarra Line,2,,,
TNSW-3623-1619,601L,2026-02-16 13:44:57,2026-02-16,13:44:57,-33.89084,151.247424,0,Waterfall,Bondi Junction via City,T4 Eastern Suburbs & Illawarra Line,5,,,
TNSW-7278-2865,78-V,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.887682,151.202654,0,Parramatta,City Circle ,T2 Leppington & Inner West Line,2,,,
XP2004,WT28,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.887597,151.202213,31,Dubbo,Central,NSW Trainlink XPT,2,,,
X11-X18,L2,2026-02-16 12:14:46,2026-02-16,12:14:46,-33.91684,151.23877,22,,,Randwick Line,2,,,
